Tempo;Forca Motriz;Tracao;Energia
44,1298034;5000;5000;0,2603801299
44,1338675;5000;5000;0,2603801299
44,1369176;5000;5000;0,2603801299
44,1408612;5000;5000;0,2603801299
44,1440118;5000;5000;0,2603801299
44,1460472;5000;5000;0,2603801299
44,1490012;5000;5000;0,2603801299
44,1535829;5000;5000;0,2603801299
44,1565329;5000;5000;0,2603801299
44,1596114;5000;5000;0,2603801299
44,1625378;5000;5000;0,2603801299
44,1655023;5000;5000;0,2603801299
44,1748145;5000;5000;0,2603801299
44,1778487;5000;5000;0,2603801299
44,1809008;5000;5000;0,2603801299
44,1838968;5000;5000;0,2603801299
44,1864854;5000;5000;0,2603801299
44,193543;5000;5000;0,2603801299
44,1958659;5000;5000;0,2603801299
44,1978781;5000;5000;0,2603801299
44,1998601;5000;5000;0,2603801299
44,201865;5000;5000;0,2603801299
44,2038274;5000;5000;0,2603801299
44,2063402;5000;5000;0,2603801299
44,2083361;5000;5000;0,2603801299
44,2105306;5000;5000;0,2603801299
44,2125551;5000;5000;0,2603801299
44,2145819;5000;5000;0,2603801299
44,2165142;5000;5000;0,2603801299
44,2185674;5000;5000;0,2603801299
44,2205126;5000;5000;0,2603801299
44,2227888;5000;5000;0,2603801299
44,2247157;5000;5000;0,2603801299
44,2276311;5000;5000;0,2603801299
44,2296273;5000;5000;0,2603801299
44,2317291;5000;5000;0,2603801299
44,2336639;5000;5000;0,2603801299
44,2361456;5000;5000;0,2603801299
44,2382392;5000;5000;0,2603801299
44,2412027;5000;5000;0,2603801299
44,243703;5000;5000;0,2603801299
44,2457381;5000;5000;0,2603801299
44,2476644;5000;5000;0,2603801299
44,249709;5000;5000;0,2603801299
44,2517212;5000;5000;0,2603801299
44,2537314;5000;5000;0,2603801299
44,256183;5000;5000;0,2603801299
44,258234;5000;5000;0,2603801299
44,2605966;5000;5000;0,2603801299
44,2636499;5000;5000;0,2603801299
44,2665208;5000;5000;0,2603801299
44,2693627;5000;5000;0,2603801299
44,2768077;5000;5000;0,2603801299
44,2798034;5000;5000;0,2603801299
44,2818875;5000;5000;0,2603801299
44,2868702;5000;5000;0,2603801299
44,2900494;5000;5000;0,2603801299
44,2935746;5000;5000;0,2603801299
44,2957389;5000;5000;0,2603801299
44,2978673;5000;5000;0,2603801299
44,3005548;5000;5000;0,2603801299
44,3027489;5000;5000;0,2603801299
44,3055071;5000;5000;0,2603801299
44,3076773;5000;5000;0,2603801299
44,3102279;5000;5000;0,2603801299
44,3121874;5000;5000;0,2603801299
44,3147181;5000;5000;0,2603801299
44,3167312;5000;5000;0,2603801299
44,3197538;5000;5000;0,2603801299
44,3217092;5000;5000;0,2603801299
44,3239755;5000;5000;0,2603801299
44,3258118;5000;5000;0,2603801299
44,3278492;5000;5000;0,2603801299
44,3298701;5000;5000;0,2603801299
44,331937;5000;5000;0,2603801299
44,3339383;5000;5000;0,2603801299
44,3380488;5000;5000;0,2603801299
44,3424129;5000;5000;0,2603801299
44,3455386;5000;5000;0,2603801299
44,3485688;5000;5000;0,2603801299
44,3505326;5000;5000;0,2603801299
44,3525713;5000;5000;0,2603801299
44,3545956;5000;5000;0,2603801299
44,3576375;5000;5000;0,2603801299
44,359585;5000;5000;0,2603801299
44,3616792;5000;5000;0,2603801299
44,363683;5000;5000;0,2603801299
44,3671409;5000;5000;0,2603801299
44,3701177;5000;5000;0,2603801299
44,3736869;5000;5000;0,2603801299
44,3756427;5000;5000;0,2603801299
44,3776464;5000;5000;0,2603801299
44,3796466;5000;5000;0,2603801299
44,3816472;5000;5000;0,2603801299
44,3837129;5000;5000;0,2603801299
44,3860787;5000;5000;0,2603801299
44,3890924;5000;5000;0,2603801299
44,3910815;5000;5000;0,2603801299
44,3936191;5000;5000;0,2603801299
44,3958403;5000;5000;0,2603801299
44,4006821;5000;5000;0,2603801299
44,4068712;5000;5000;0,2603801299
44,4104961;5000;5000;0,2603801299
44,4149964;5000;5000;0,2603801299
44,4199544;5000;5000;0,2603801299
44,4239602;5000;5000;0,2603801299
44,428486;5000;5000;0,2603801299
44,4324632;5000;5000;0,2603801299
44,4370147;5000;5000;0,2603801299
44,4410564;5000;5000;0,2603801299
44,4446178;5000;5000;0,2603801299
44,4475461;5000;5000;0,2603801299
44,4504981;5000;5000;0,2603801299
44,4525395;5000;5000;0,2603801299
44,4549331;5000;5000;0,2603801299
44,4569671;5000;5000;0,2603801299
44,4599527;5000;5000;0,2603801299
44,4634951;5000;5000;0,2603801299
44,4665058;5000;5000;0,2603801299
44,4695655;5000;5000;0,2603801299
44,4725053;5000;5000;0,2603801299
44,4749932;5000;5000;0,2603801299
44,477934;5000;5000;0,2603801299
44,4799485;5000;5000;0,2603801299
44,48397;5000;5000;0,2603801299
44,4864185;5000;5000;0,2603801299
44,4885562;5000;5000;0,2603801299
44,4924505;5000;5000;0,2603801299
44,4949642;5000;5000;0,2603801299
44,4979835;5000;5000;0,2603801299
44,5009794;5000;5000;0,2603801299
44,5034859;5000;5000;0,2603801299
44,506773;5000;5000;0,2603801299
44,509605;5000;5000;0,2603801299
44,5121537;5000;5000;0,2603801299
44,5149054;5000;5000;0,2603801299
44,5176929;5000;5000;0,2603801299
44,5196343;5000;5000;0,2603801299
44,5216098;5000;5000;0,2603801299
44,5237155;5000;5000;0,2603801299
44,5261439;5000;5000;0,2603801299
44,528279;5000;5000;0,2603801299
44,5301355;5000;5000;0,2603801299
44,5338656;5000;5000;0,2603801299
44,5358599;5000;5000;0,2603801299
44,5378652;5000;5000;0,2603801299
44,5398149;5000;5000;0,2603801299
44,5418127;5000;5000;0,2603801299
44,5438527;5000;5000;0,2603801299
44,5463361;5000;5000;0,2603801299
44,5483349;5000;5000;0,2603801299
44,5503561;5000;5000;0,2603801299
44,5523713;5000;5000;0,2603801299
44,5548813;5000;5000;0,2603801299
44,5569629;5000;5000;0,2603801299
44,5589105;5000;5000;0,2603801299
44,5611428;5000;5000;0,2603801299
44,562866;5000;5000;0,2603801299
44,565391;5000;5000;0,2603801299
44,5674616;5000;5000;0,2603801299
44,5693729;5000;5000;0,2603801299
44,5713736;5000;5000;0,2603801299
44,5738838;5000;5000;0,2603801299
44,5769453;5000;5000;0,2603801299
44,5790061;5000;5000;0,2603801299
44,5809051;5000;5000;0,2603801299
44,5828926;5000;5000;0,2603801299
44,585051;5000;5000;0,2603801299
44,5870782;5000;5000;0,2603801299
44,589048;5000;5000;0,2603801299
